alias,F1.predictive_gain.primary.h12.mean,F1.predictive_gain.primary.h12.range,F1.predictive_gain.primary.h4.mean,F1.predictive_gain.primary.h4.range,F1.predictive_gain.primary.h8.mean,F1.predictive_gain.primary.h8.range,F1.predictive_gain.replication.h12.mean,F1.predictive_gain.replication.h12.range,F1.predictive_gain.replication.h4.mean,F1.predictive_gain.replication.h4.range,F1.predictive_gain.replication.h8.mean,F1.predictive_gain.replication.h8.range,F1.residual_uncertainty.primary.h12.mean,F1.residual_uncertainty.primary.h12.range,F1.residual_uncertainty.primary.h4.mean,F1.residual_uncertainty.primary.h4.range,F1.residual_uncertainty.primary.h8.mean,F1.residual_uncertainty.primary.h8.range,F1.residual_uncertainty.replication.h12.mean,F1.residual_uncertainty.replication.h12.range,F1.residual_uncertainty.replication.h4.mean,F1.residual_uncertainty.replication.h4.range,F1.residual_uncertainty.replication.h8.mean,F1.residual_uncertainty.replication.h8.range,F1.retention.primary.w5.mean,F1.retention.primary.w5.range,F1.retention.primary.w7.mean,F1.retention.primary.w7.range,F1.retention.primary.w9.mean,F1.retention.primary.w9.range,F1.retention.replication.w5.mean,F1.retention.replication.w5.range,F1.retention.replication.w7.mean,F1.retention.replication.w7.range,F1.retention.replication.w9.mean,F1.retention.replication.w9.range,F2.commutator_history_gain.max,F2.commutator_history_gain.mean,F2.commutator_history_gain.min,F2.commutator_history_gain.range,F3.compatible_partner_fraction,F3.forced_domain_fraction,F3.forced_one_fraction,F3.mean_additional_pins_compatible,F3.mean_conflicting_keys_all_partners,F3.mean_shared_keys_all_partners,F3.mean_shared_keys_compatible,F3.nonvacuous_given_compatible,F3.occupied_partner_fraction
anon_006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.008352947616180415,0.41939711664482304,1171.2941176470588,0.0,36.003921568627455,36.003921568627455,0.4980392156862745,0.4980392156862745
anon_005,0.4368759982758825,0.04096397964018378,0.4368759982758825,0.04096397964018378,0.4368759982758825,0.04096397964018378,0.42105603209059134,0.01863671302155767,0.42105603209059134,0.01863671302155767,0.42105603209059134,0.01863671302155767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2695878789506529,0.10765014841301912,0.3774765563658262,0.22019890993827818,0.5372497512003294,0.2493007274475802,0.2511414323561049,0.07572032183814473,0.3498083111744649,0.12495134556958165,0.5069487730836825,0.13740647757220614,-0.04674209751220959,-0.06775784945712544,-0.09505922961344115,0.048317132101231564,0.4745098039215686,0.010378236356669769,0.39556962025316456,1161.8512396694214,1.4980392156862745,29.03529411764706,28.56198347107438,0.47107438016528924,0.2235294117647059
anon_085,-0.2773126923808437,0.016708667800632848,0.027840448827879533,0.002154536497416204,-0.04388499166469351,0.01281417646645111,-0.12286607050372655,0.10477561265280588,0.03421669975437053,0.005517897320966969,0.024252157313156136,0.0037574118393019496,0.4056024260085843,0.01448629241627647,0.48407410402860535,0.004089470094211567,0.4598908906114836,0.0049618357360982634,0.4496077105340752,0.017368777820876757,0.48710661610620926,0.0212887782032678,0.4824256420945892,0.021410761181189786,-0.36129904599634005,0.07743287981122615,-0.2747839781103334,0.09559381792352051,-0.23051784981460588,0.11349824329096836,-0.3401197395297519,0.2187127751676573,-0.25170825926169615,0.25727876131017036,-0.20446705992925232,0.2993788521034334,-0.03262761267561065,-0.040632949211144354,-0.049966079492601456,0.017338466816990805,1.0,0.010454868903607204,0.4900523560209424,1167.5764705882352,0.0,38.96862745098039,38.96862745098039,0.5607843137254902,0.5607843137254902
anon_023,0.054505844405863674,0.008689088632297837,0.05732289350329456,0.007805668330416182,0.05978545138295088,0.009497405596265773,0.05937514619540818,0.007361458738639359,0.05787392804547162,0.009545633953538635,0.06171493765729888,0.00985159528108076,0.3562145281354655,0.013603796406891522,0.3668707076623552,0.012988747413298807,0.361391294388263,0.014739201866703078,0.3660671307670129,0.014993072872992619,0.3763386987212373,0.013466174544472631,0.3716463023416614,0.013163360888267361,0.28555620625629863,0.025071519296475497,0.3280881799399621,0.07456771920759003,0.41974726728664263,0.08693149169649483,0.2977275256118688,0.06488745920820521,0.3605967885475742,0.11736118942180851,0.45763285477588483,0.13473058337216381,-0.016347909352545487,-0.017966976421256293,-0.019358782660115703,0.0030108733075702165,0.48627450980392156,0.010509606437133943,0.425,1171.4354838709678,1.2,27.50588235294118,30.241935483870968,0.5483870967741935,0.26666666666666666
anon_063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5476902425028105,0.5437127208727998,-0.20734628942867486,0.5103126858584384,-0.1983463241454756,0.5950044079330037,-0.49512532944286236,0.3822873882272263,-0.15901975255229364,0.36423456284642997,-0.14200029455681765,0.4257401890410763,0.0,0.0,0.0,0.0,0.8745098039215686,0.008352947616180415,0.272608125819135,1161.3901345291479,0.12549019607843137,38.85098039215686,37.93273542600897,0.6053811659192825,0.5294117647058824
anon_070,0.9710452653631474,0.03364079477656612,0.9710452653631474,0.03364079477656612,0.9710452653631474,0.03364079477656612,0.9823379210734073,0.021714286326253163,0.9823379210734073,0.021714286326253163,0.9823379210734073,0.021714286326253163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41609814322455446,0.051871313247505435,0.4878067198136035,0.13342884221209772,0.5209086400303955,0.23618405732156816,0.4166619618468099,0.03157384284630754,0.4777812555528591,0.06820601394216119,0.5082294430203764,0.12652613667334411,0.017661772612620807,0.015379830201857106,0.01316291045767748,0.004498862154943328,0.48627450980392156,0.012086047402704034,0.23731884057971014,1160.7903225806451,0.8,31.08235294117647,34.54838709677419,0.6451612903225806,0.3137254901960784
anon_067,-0.2584204947957813,0.16692295520513845,0.17560143575958648,0.012271857264719244,0.12963592697666776,0.06801293494260119,0.0016118670671904645,0.045985052601800525,0.21645879819076708,0.04533042328151726,0.2065661551760879,0.04274457637607809,0.46763170958285527,0.005479114619936998,0.5819796854022272,0.017365657007434865,0.5650116445916153,0.027253003883011107,0.5099127639485087,0.022892944492001133,0.5768006050375608,0.013921717691889546,0.5662165967418054,0.018136028594813114,-0.377863465847212,0.33476550429672397,-0.2806898534182182,0.41189020544617133,-0.24540964406973118,0.4587056938226737,-0.28692412358646424,0.2579754574978874,-0.17176664423885626,0.32388216759808097,-0.1268111304882371,0.3642945109183592,0.04292649680973021,0.035019103077222204,0.025270204888279413,0.017656291921450795,0.9686274509803922,0.013213640593354864,0.4125932062966031,1166.6963562753037,0.10588235294117647,34.286274509803924,30.271255060728745,0.611336032388664,0.592156862745098
anon_036,0.010426831465739417,0.016255419165410068,0.022423965236941068,0.004323881440879029,0.022873237005805583,0.0057467255303775,0.024813337778055333,0.013782183893378042,0.027479529558054563,0.006096186003583054,0.02631108483678643,0.006382147298036822,0.23805266479161938,0.01029720323962291,0.24296823379540883,0.011778016105197742,0.24095144834667914,0.01040158458761753,0.25241005346698336,0.00955823821196869,0.2554259543097359,0.013137424923456459,0.25497256555404185,0.012875780266338704,-0.12436609148312133,0.033749882205515544,-0.319495529230733,0.09418868693629112,-0.36554223772234323,0.1257155992168676,-0.12973743480216696,0.03527170449675737,-0.28021718011463703,0.08489342209291512,-0.31398532196236584,0.11090875875543282,0.007950054051059363,0.007415695746765594,0.0070411505750417325,0.0009089034760176307,0.48627450980392156,0.013531118287809951,0.34951456310679613,1175.3951612903227,1.1529411764705881,27.764705882352942,29.806451612903224,0.6129032258064516,0.2980392156862745
anon_051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5845675173074668,0.0,-0.8044562550533879,0.0,0.0,0.0,-0.5845675173074668,0.0,-0.8044562550533879,0.0,0.0,0.0,0.0,0.0,0.9921568627450981,0.008352947616180415,0.41939711664482304,1179.2490118577075,0.0392156862745098,27.227450980392156,27.205533596837945,0.5019762845849802,0.4980392156862745
anon_015,0.5857814361112875,0.09848148516427524,0.6297245335073929,0.03618447816988013,0.6355362709938617,0.08200468091460922,0.5569648691970517,0.08741569944575212,0.5973632280796046,0.02485151676034547,0.612769771270027,0.04584870195362778,0.196776037935419,0.019464550693002014,0.271480917738414,0.03225658236935103,0.22953288757083123,0.03107703414245952,0.2539265111688614,0.014672144893556421,0.2986670310705438,0.02068521439972637,0.26620900711036805,0.021359186393481,0.14123654219817025,0.009517432726952407,0.28048289207479377,0.06175652232727363,0.3770331810926402,0.06542511516211658,0.13915417056848634,0.014068889011398078,0.26892716228903274,0.05588857685435342,0.3634448482439285,0.06537012331845415,0.14148456138339782,0.12704796394058906,0.10137231386973877,0.04011224751365905,0.4470588235294118,0.014187968690130823,0.4876543209876543,1170.078947368421,1.3411764705882352,24.870588235294118,11.947368421052632,0.4473684210526316,0.2
anon_081,-1.2481562261972252,0.18311281305954186,0.09866955802132948,0.05384033070820493,-0.04767375508239863,0.07661116686935487,-0.9996948367078433,0.04858714491669425,0.13491028768512214,0.011990025100667268,0.047879612599494026,0.02676570799251765,0.3624574432565903,0.027094502343313565,0.6692435827342775,0.014278219972285067,0.6105987161196789,0.01240932955288232,0.4589870923823455,0.012585539967868986,0.6765849619180291,0.001646102110252179,0.6434920854299682,0.009654384066829391,-0.0036828478186799346,0.22097086912079608,0.10898066015490658,0.3693415326494021,0.17025173278843855,0.4686526472921354,0.025779934730759544,0.16572815184059708,0.1363711539132783,0.1750786744862044,0.2014003428404625,0.20180578305592653,0.014099611616510077,0.005713157304667094,-0.003589019611079769,0.017688631227589846,1.0,0.012556790191033992,0.5231037489102005,1164.4470588235295,0.0,41.345098039215685,41.345098039215685,0.5764705882352941,0.5764705882352941
anon_061,-0.09202228521194977,0.31640301169294127,0.37365272466374505,0.11154588321209202,0.3120969738484421,0.13605819180390666,-0.028104091821048505,0.28497316381880367,0.3920143972546333,0.07521598378626893,0.36455262451533527,0.1112615515589267,0.39690619901473045,0.021061709432063758,0.5680688415085098,0.07883034538560263,0.5313561831787936,0.05856032477610895,0.4564425660640456,0.05040233730971977,0.5595033380964602,0.053325142569304984,0.5465335673885567,0.055653428217155354,0.1241598605451522,0.11140999600975723,0.28299816060665856,0.14849705778127276,0.34112551248625717,0.19118332259198542,0.11943229090229479,0.0764069702437909,0.2794465071694884,0.1082308621709561,0.33904148492770264,0.1488343220585966,0.0279365284693604,0.025253898295010957,0.022032763136662303,0.0059037653326980966,0.47843137254901963,0.013531118287809951,0.5226537216828478,1166.0,1.396078431372549,29.223529411764705,30.19672131147541,0.5573770491803278,0.26666666666666666
anon_033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17920149579894404,0.2649219715476946,-0.10536551825492387,0.2942658435568538,-0.13818731335248532,0.3700282321269064,-0.07433563315992407,0.2477381659495298,0.04055019215184535,0.36800437793910334,0.0378635810176693,0.4502909304477953,0.0,0.0,0.0,0.0,0.8745098039215686,0.008352947616180415,0.20969855832241152,1166.017937219731,0.12549019607843137,33.83921568627451,33.30493273542601,0.6053811659192825,0.5294117647058824
anon_072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5787403746600928,0.0659473276699093,-0.6754564188590271,0.01030983739682556,-0.8629839948435382,0.029178436566557164,-0.5674630370623078,0.07917354491180739,-0.6727792938557936,0.011439729661266718,-0.8634354371165881,0.02468903736763539,0.0,0.0,0.0,0.0,0.47843137254901963,0.012545842684328644,0.2530541012216405,1166.0,0.615686274509804,27.88235294117647,26.704918032786885,0.639344262295082,0.3058823529411765
anon_013,0.6502808764268356,0.0883603357149012,0.7423522960673399,0.027673262544817168,0.7144853634028695,0.026003441825320328,0.7292738980869424,0.04143135166128509,0.8246785070546098,0.03260635472900986,0.779792011767473,0.09601301344495139,0.13492663896089963,0.023162484550747237,0.18587688505615277,0.039653008730685835,0.1668558073959509,0.04139884627628948,0.11889129342673216,0.004412954491735149,0.15867390294763764,0.02727161941866163,0.14103832689583662,0.01806295998323798,0.24735240542652304,0.1704358373437112,-0.21889846664937906,0.2920972506241393,-0.3847943908035922,0.37551463594384454,0.2823589973900877,0.09540127394717457,-0.1674837677453198,0.2227743436751557,-0.3178379166840756,0.28593337882541214,0.061307212987292914,0.013137165073540694,-0.025533933631315175,0.08684114661860809,0.984313725490196,0.013213640593354864,0.4407622203811102,1170.1195219123506,0.027450980392156862,33.3921568627451,31.780876494023904,0.6414342629482072,0.6313725490196078
anon_025,-0.5234318522210328,0.027141673166318547,-0.018562758995069872,0.014634385930470728,-1.5830593725901865,0.18585254974175136,-0.9871283179709192,0.05311380828270673,-0.0027812898800511077,0.009056960784244561,-0.5030108986000322,0.26736347398009275,0.08498002930532605,0.011744205740434749,0.9840080197902417,0.004252455659635612,0.7009230143288274,0.036787017687785806,0.165202271496477,0.0011947935961064138,0.9911276667101176,0.009300802925652163,0.8657428197732451,0.027220847307969698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4980392156862745,0.01681537029941431,0.4583333333333333,1163.7952755905512,1.2549019607843137,31.811764705882354,37.37007874015748,0.6456692913385826,0.3215686274509804
anon_073,0.16120714465078656,0.005239919910687618,0.12369617466105631,0.0037401739025215708,0.15442505924186406,0.005094525638911329,0.16366394093275116,0.0004715129557339992,0.12466418438244453,0.0007211727438096727,0.15563230168044762,0.0003178350967303345,0.5256466017119735,0.004476405989569443,0.5663606247833799,0.003320681338229492,0.5352301778161791,0.004632976932349653,0.525408548322631,0.0004143735909264423,0.5655098930626563,0.0007183280796629887,0.5344327586824928,0.0003107760465400622,0.022634788108767488,0.012143869288269691,-0.012904839146415437,0.02621925365697703,0.0962401713177763,0.033976356986270745,0.023243179269953906,0.0049497774162474036,-0.012864699360481034,0.009007690817401553,0.09566456144308387,0.010272999322641016,0.006279532911279251,0.0060561068732796946,0.005891311942627486,0.0003882209686517646,0.8196078431372549,0.013476380754283212,0.39073923639317626,1187.9712918660287,0.40784313725490196,29.03921568627451,17.736842105263158,0.4258373205741627,0.34901960784313724
