rule,n,representative,word_cell_0_first,p,d,q,a,a_signed,m,family_representative,family_cycle_count
110,14,125,10111110000000,91,14,13,12,-2,7,125,2
110,14,143,11110001000000,91,14,13,12,-2,7,125,2
54,14,39,11100100000000,112,14,16,10,-4,7,39,2
54,14,57,10011100000000,112,14,16,4,4,7,57,2
54,14,78,01110010000000,112,14,16,10,-4,7,39,2
54,14,114,01001110000000,112,14,16,4,4,7,57,2
