states,image,fixed,cycles,recurrent,max_period,max_transient,largest_basin,commutator_nonzero,graph_sha256,model,mode,encoding,width,rule_change_recurrent
65536,31450,2192,4592,15120,40,18,256,56720,cc81a4aceaa7e95b59abe72b66d4116152f23449a36cfd491ee326a0e8d30f38,ring,frozen,13,8,0
65536,29877,99,124,155,4,20,33694,64414,9aa92b756702375b9fb181bee6ce94d16749a8abfb2696a33cbb9dc67f7a774f,ring,mutual,13,8,56
65536,16844,1,6,18,4,33,48121,64150,8cb015766202d88f68f7cc71e0e7a933568bd2baddf0fcea99c10006d7611647,ring,derivative,13,8,10
65536,31450,2192,4592,15120,40,18,256,56720,516f7848f0d40e977380c4a73ad5dbb92757cb2327a61c2b0443f3990e289dc2,ring,frozen,14,8,0
65536,29877,99,124,155,4,20,33694,64414,c80c56c3a08fb1a444a33b8012ddfd13faf91401bea440870178da00f190961d,ring,mutual,14,8,56
65536,16844,1,6,18,4,33,48121,64150,2c2acc44d7b325e84f5c5944ed3e960bc126b6ae6423168cec38b5baf53295d7,ring,derivative,14,8,10
65536,31450,2192,4592,15120,40,18,256,56720,41f7aa77d00a8d55989b72f09893637b9af4297c96da16e9cb7448593b39fb8b,ring,frozen,15,8,0
65536,29877,99,124,155,4,20,33694,64414,e1c15a1cb9e519a7d5c2672efb65dd8dbe81cc501a57be5e34716b95a1872e04,ring,mutual,15,8,56
65536,16844,1,6,18,4,33,48121,64150,2e50fc6f06fe2dd3feed6cc984dd9e319b1b9a8dc6de266f4b2e1df8081b405a,ring,derivative,15,8,10
65536,31450,2192,4592,15120,40,18,256,56720,7d3ab0cf43b8f5611a615ff010599385ef51a849cde8c97b4e8152853644a862,ring,frozen,16,8,0
65536,28499,85,123,175,8,24,32948,64390,d40e4bb90d4c431ef9c8c6c0e9ed9e2ef837ebdd2337af2a02e5c907ba8402a1,ring,mutual,16,8,90
65536,16844,1,3,6,3,29,49691,64114,6a4e47e381f80a6be19dd5bb981760aab44b495238ca05da44f4451d30a06835,ring,derivative,16,8,2
65536,31450,2192,4592,15120,40,18,256,56720,aec080bb83f59287aa37c3050cbc13bef099b03c48b991b9e9f52d51e7770cad,ring,frozen,17,8,0
65536,29103,44,65,86,2,21,29906,64540,babf6e6ab6ca3792b01037a52db23fb0849641454fc4d694ab90660d2fc2800b,ring,mutual,17,8,34
65536,16844,1,5,10,3,23,51564,64225,ea1c89c8492f778cb554fb26bf12b29f0ac83e4cdfb0d868acae86932561c6f5,ring,derivative,17,8,2
65536,31450,2192,4592,15120,40,18,256,56720,33f403da5f7f370e1049d0eefb3abc0cce0c3d02ec936ac1b13cf94f32751116,ring,frozen,18,8,0
65536,28669,139,169,203,4,22,32576,64234,a9e3e6852fbe213e829b13a2ba3fb18536e25dd8d0f38235b3de56a00429e5b9,ring,mutual,18,8,62
65536,16844,1,4,8,3,42,51445,64080,b51b2d3cf6fc1d9d82f0f4b1a950916c41617331065dcf4a2bab6338c0d42386,ring,derivative,18,8,2
