A,B,dispatch,trace,K,cycles,shift,useful_inheritance,cases,sum_uncompiled,sum_frozen,sum_replacement_oracle,sum_revision_oracle,sum_replacement_reactive_lex,sum_revision_reactive_lex,sum_replacement_reactive_stay,sum_revision_reactive_stay,revision_oracle_win_uncompiled,revision_oracle_tie_uncompiled,revision_oracle_loss_uncompiled,revision_oracle_win_frozen,revision_oracle_tie_frozen,revision_oracle_loss_frozen,revision_oracle_win_replacement,revision_oracle_tie_replacement,revision_oracle_loss_replacement,revision_reactive_lex_win_uncompiled,revision_reactive_lex_tie_uncompiled,revision_reactive_lex_loss_uncompiled,revision_reactive_lex_win_frozen,revision_reactive_lex_tie_frozen,revision_reactive_lex_loss_frozen,revision_reactive_lex_win_replacement,revision_reactive_lex_tie_replacement,revision_reactive_lex_loss_replacement,revision_reactive_stay_win_uncompiled,revision_reactive_stay_tie_uncompiled,revision_reactive_stay_loss_uncompiled,revision_reactive_stay_win_frozen,revision_reactive_stay_tie_frozen,revision_reactive_stay_loss_frozen,revision_reactive_stay_win_replacement,revision_reactive_stay_tie_replacement,revision_reactive_stay_loss_replacement,replacement_lex_regret_cases,replacement_lex_regret_sum,replacement_lex_regret_max,replacement_stay_regret_cases,replacement_stay_regret_sum,replacement_stay_regret_max,replacement_tie_changes_cost,revision_lex_regret_cases,revision_lex_regret_sum,revision_lex_regret_max,revision_stay_regret_cases,revision_stay_regret_sum,revision_stay_regret_max,revision_tie_changes_cost
0,51,0,0,1,2,far,0,176,2640,4048,4048,4048,4048,4048,4048,4048,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,1,2,far,0,176,2640,4048,4048,4400,4048,4400,4048,4400,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,1,2,far,0,176,2640,4048,4048,4752,4048,4752,4048,4752,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,1,2,far,0,176,2640,4048,4048,5456,4048,5456,4048,5456,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,1,4,unchanged,0,16,320,448,448,448,448,448,448,448,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,16,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,1,4,unchanged,0,16,320,448,448,480,448,480,448,480,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,1,4,unchanged,0,16,320,448,448,512,448,512,448,512,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,1,4,unchanged,0,16,320,448,448,576,448,576,448,576,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,1,4,one_edit,0,64,1280,1792,1792,1792,1792,1792,1792,1792,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,64,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,1,4,one_edit,0,64,1280,1792,1792,1920,1792,1920,1792,1920,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,1,4,one_edit,0,64,1280,1792,1792,2048,1792,2048,1792,2048,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,1,4,one_edit,0,64,1280,1792,1792,2304,1792,2304,1792,2304,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,0,1,4,far,0,176,3520,4928,4928,4928,4928,4928,4928,4928,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,176,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,2,1,4,far,0,176,3520,4928,4928,5280,4928,5280,4928,5280,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,4,1,4,far,0,176,3520,4928,4928,5632,4928,5632,4928,5632,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,51,0,8,1,4,far,0,176,3520,4928,4928,6336,4928,6336,4928,6336,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
