width,observed_steps,future_steps,mode,source_pairs,panels,unique_rule_panels,ambiguous_rule_one_future,multiple_future_panels,source_weighted_multiple_future_fraction,mean_candidate_rules,mean_rule_bits,mean_continuations,max_continuations,mean_future_bits,max_future_bits,more_futures_than_autonomous,fewer_futures_than_autonomous
6,4,2,flip_cell_0,16384,8344,5688,1488,1168,0.37451171875,1.9635666347075742,0.5105465004793864,1.3293384467881113,45,0.2224352828379674,6,1100,4
6,4,3,flip_cell_0,16384,8344,5688,1452,1204,0.37890625,1.9635666347075742,0.5105465004793864,1.3564237775647172,52,0.23202301054650049,6,1128,20
6,4,4,flip_cell_0,16384,8344,5688,1452,1204,0.37890625,1.9635666347075742,0.5105465004793864,1.361457334611697,52,0.23346116970278044,6,1128,20
6,5,1,autonomous,16384,8392,5784,2584,24,0.0029296875,1.9523355576739752,0.501906577693041,1.0028598665395614,2,0.002859866539561487,1,0,0
6,5,2,autonomous,16384,8392,5784,2560,48,0.005859375,1.9523355576739752,0.501906577693041,1.005719733079123,2,0.005719733079122974,1,0,0
6,5,3,autonomous,16384,8392,5784,2560,48,0.005859375,1.9523355576739752,0.501906577693041,1.005719733079123,2,0.005719733079122974,1,0,0
6,5,4,autonomous,16384,8392,5784,2560,48,0.005859375,1.9523355576739752,0.501906577693041,1.005719733079123,2,0.005719733079122974,1,0,0
6,5,1,flip_cell_0,16384,8392,5784,1582,1026,0.35205078125,1.9523355576739752,0.501906577693041,1.2299809342230696,8,0.16515729265967588,3,1002,0
6,5,2,flip_cell_0,16384,8392,5784,1406,1202,0.38671875,1.9523355576739752,0.501906577693041,1.34580552907531,45,0.2302192564346997,6,1154,0
6,5,3,flip_cell_0,16384,8392,5784,1382,1226,0.3896484375,1.9523355576739752,0.501906577693041,1.3734509056244042,52,0.2390371782650143,6,1178,0
6,5,4,flip_cell_0,16384,8392,5784,1382,1226,0.3896484375,1.9523355576739752,0.501906577693041,1.3784556720686367,52,0.24046711153479505,6,1178,0
6,6,1,autonomous,16384,8416,5832,2560,24,0.0029296875,1.946768060836502,0.4976235741444867,1.002851711026616,2,0.0028517110266159697,1,0,0
6,6,2,autonomous,16384,8416,5832,2560,24,0.0029296875,1.946768060836502,0.4976235741444867,1.002851711026616,2,0.0028517110266159697,1,0,0
6,6,3,autonomous,16384,8416,5832,2560,24,0.0029296875,1.946768060836502,0.4976235741444867,1.002851711026616,2,0.0028517110266159697,1,0,0
6,6,4,autonomous,16384,8416,5832,2560,24,0.0029296875,1.946768060836502,0.4976235741444867,1.002851711026616,2,0.0028517110266159697,1,0,0
6,6,1,flip_cell_0,16384,8416,5832,1618,966,0.33740234375,1.946768060836502,0.4976235741444867,1.2079372623574145,8,0.15185361216730037,3,942,0
6,6,2,flip_cell_0,16384,8416,5832,1468,1116,0.3681640625,1.946768060836502,0.4976235741444867,1.320342205323194,45,0.21435361216730037,6,1092,0
6,6,3,flip_cell_0,16384,8416,5832,1432,1152,0.37255859375,1.946768060836502,0.4976235741444867,1.3471958174904943,52,0.22385931558935362,6,1128,0
6,6,4,flip_cell_0,16384,8416,5832,1432,1152,0.37255859375,1.946768060836502,0.4976235741444867,1.3521863117870723,52,0.2252851711026616,6,1128,0
8,0,1,autonomous,65536,256,0,0,256,1.0,256.0,8.0,65.796875,256,5.5234375,8,0,0
8,0,2,autonomous,65536,256,0,0,256,1.0,256.0,8.0,141.2265625,256,7.5703125,8,0,0
8,0,3,autonomous,65536,256,0,0,256,1.0,256.0,8.0,160.9296875,256,7.7421875,8,0,0
8,0,4,autonomous,65536,256,0,0,256,1.0,256.0,8.0,165.6171875,256,7.8046875,8,0,0
8,0,1,flip_cell_0,65536,256,0,0,256,1.0,256.0,8.0,65.796875,256,5.5234375,8,96,96
8,0,2,flip_cell_0,65536,256,0,0,256,1.0,256.0,8.0,141.2265625,256,7.5703125,8,128,128
8,0,3,flip_cell_0,65536,256,0,0,256,1.0,256.0,8.0,160.9296875,256,7.7421875,8,128,128
8,0,4,flip_cell_0,65536,256,0,0,256,1.0,256.0,8.0,165.6171875,256,7.8046875,8,126,126
8,1,1,autonomous,65536,16844,4096,4110,8638,0.66796875,3.8907622892424603,1.478746141059131,2.146402279743529,16,0.7469722156257421,4,0,0
