n,A,B,dispatch,trace,K,shift,useful_inheritance,cases,same_task_map,revision_changed_macro,replacement_changed_macro,sum_uncompiled,sum_frozen,sum_replace,sum_revisable,revision_win_uncompiled,revision_tie_uncompiled,revision_loss_uncompiled,max_saving_uncompiled,max_excess_uncompiled,revision_win_frozen,revision_tie_frozen,revision_loss_frozen,max_saving_frozen,max_excess_frozen,revision_win_replace,revision_tie_replace,revision_loss_replace,max_saving_replace,max_excess_replace
6,184,250,4,4,1,unchanged,1,13,13,3,0,2070,1328,1328,1365,13,0,0,204,-6,3,0,10,1,4,3,0,10,1,4
6,184,250,4,4,1,far,1,143,22,69,66,22610,15262,15006,15373,143,0,0,185,-4,53,0,90,15,4,25,0,118,1,4
6,184,250,4,4,4,unchanged,0,3,3,2,0,360,384,384,386,0,0,3,-7,12,2,0,1,1,4,2,0,1,1,4
6,184,250,4,4,4,one_edit,0,12,4,12,8,2000,1920,1632,1630,8,0,4,81,7,12,0,0,41,-1,7,0,5,1,1
6,184,250,4,4,4,far,0,33,8,31,16,4600,4760,4224,4247,16,0,17,31,12,24,0,9,39,4,8,0,25,1,4
6,184,250,4,4,4,one_edit,1,52,26,26,16,10480,7240,6704,6792,52,0,0,185,-12,24,0,28,89,4,21,0,31,1,4
6,184,250,4,4,4,unchanged,1,13,13,3,3,2760,1736,1664,1701,13,0,0,276,-12,3,0,10,25,4,3,0,10,1,4
6,184,250,4,4,4,far,1,143,22,115,69,29720,21712,19032,19193,143,0,0,221,-4,103,0,40,87,4,59,0,84,1,4
6,184,250,4,4,16,unchanged,0,3,3,2,2,720,744,696,698,2,0,1,17,12,2,0,1,25,4,2,0,1,1,4
6,184,250,4,4,16,one_edit,0,12,4,12,12,5120,4512,3072,3070,12,0,0,369,-17,12,0,0,185,-25,7,0,5,1,1
6,184,250,4,4,16,far,0,33,8,31,31,10480,10328,7440,7463,31,0,2,175,12,31,0,2,183,4,8,0,25,1,4
6,184,250,4,4,16,one_edit,1,52,26,26,26,19840,14656,11888,11976,52,0,0,385,-20,26,0,26,377,4,21,0,31,1,4
6,184,250,4,4,16,unchanged,1,13,13,3,3,5520,3368,3008,3045,13,0,0,564,-36,3,0,10,121,4,3,0,10,1,4
6,184,250,4,4,16,far,1,143,22,115,115,58160,47512,34032,34193,143,0,0,461,-4,115,0,28,375,4,59,0,84,1,4
6,184,250,4,8,1,unchanged,0,3,3,0,0,270,294,294,318,0,0,3,-16,16,0,0,3,-8,8,0,0,3,-8,8
6,184,250,4,8,1,one_edit,0,12,4,8,8,1220,1272,1248,1314,3,0,9,5,16,3,0,9,1,8,0,0,12,-3,8
6,184,250,4,8,1,far,0,33,8,16,16,3130,3368,3330,3546,0,0,33,-9,16,0,0,33,-1,8,0,0,33,-5,8
6,184,250,4,8,1,one_edit,1,52,26,16,12,8140,5386,5348,5690,52,0,0,176,-2,1,0,51,13,8,0,0,52,-3,8
6,184,250,4,8,1,unchanged,1,13,13,3,0,2070,1328,1328,1417,13,0,0,200,-2,0,0,13,-3,8,0,0,13,-3,8
6,184,250,4,8,1,far,1,143,22,69,66,22610,15262,15006,15945,138,5,0,181,0,8,0,135,11,8,0,0,143,-3,8
6,184,250,4,8,4,unchanged,0,3,3,2,0,360,384,384,398,0,0,3,-11,16,0,0,3,-3,8,0,0,3,-3,8
6,184,250,4,8,4,one_edit,0,12,4,12,8,2000,1920,1632,1678,8,0,4,77,11,8,0,4,37,3,0,0,12,-3,5
6,184,250,4,8,4,far,0,33,8,31,16,4600,4760,4224,4379,16,0,17,27,16,16,0,17,35,8,0,0,33,-3,8
6,184,250,4,8,4,one_edit,1,52,26,26,16,10480,7240,6704,7000,52,0,0,181,-8,16,0,36,85,8,0,0,52,-3,8
6,184,250,4,8,4,unchanged,1,13,13,3,3,2760,1736,1664,1753,13,0,0,272,-8,3,0,10,21,8,0,0,13,-3,8
6,184,250,4,8,4,far,1,143,22,115,69,29720,21712,19032,19765,138,5,0,217,0,69,0,74,83,8,0,0,143,-3,8
6,184,250,4,8,16,unchanged,0,3,3,2,2,720,744,696,710,2,0,1,13,16,2,0,1,21,8,0,0,3,-3,8
6,184,250,4,8,16,one_edit,0,12,4,12,12,5120,4512,3072,3118,12,0,0,365,-13,12,0,0,181,-21,0,0,12,-3,5
6,184,250,4,8,16,far,0,33,8,31,31,10480,10328,7440,7595,31,0,2,171,16,31,0,2,179,8,0,0,33,-3,8
6,184,250,4,8,16,one_edit,1,52,26,26,26,19840,14656,11888,12184,52,0,0,381,-16,26,0,26,373,8,0,0,52,-3,8
6,184,250,4,8,16,unchanged,1,13,13,3,3,5520,3368,3008,3097,13,0,0,560,-32,3,0,10,117,8,0,0,13,-3,8
6,184,250,4,8,16,far,1,143,22,115,115,58160,47512,34032,34765,138,5,0,457,0,115,0,28,371,8,0,0,143,-3,8
9,0,51,0,0,1,unchanged,0,16,16,0,0,180,308,308,308,0,0,16,-8,8,0,16,0,0,0,0,16,0,0,0
9,0,51,0,0,1,one_edit,0,64,40,0,0,720,1232,1232,1232,0,0,64,-8,8,0,64,0,0,0,0,64,0,0,0
9,0,51,0,0,1,far,0,176,70,0,0,1980,3388,3388,3388,0,0,176,-8,8,0,176,0,0,0,0,176,0,0,0
