m,a,b,k,primitive_m,physical_flips,rule,off_code,outer_conflicts,witness_input,witness_other,witness_output
3,3,0,2,3,2,-1,17,0,0,-1,6
3,3,0,3,3,2,-1,79,0,2,-1,2
3,3,1,1,3,1,-1,6,0,0,-1,5
3,3,1,2,3,1,-1,24,0,0,-1,6
3,3,1,3,3,1,-1,98,0,2,-1,2
3,3,2,1,3,1,-1,8,0,0,-1,5
3,3,2,2,3,1,-1,24,0,0,-1,6
3,3,2,3,3,1,-1,96,0,4,-1,1
3,3,4,1,3,3,-1,8,0,0,-1,5
3,3,4,2,3,3,-1,28,0,0,-1,6
3,3,4,3,3,3,-1,78,0,6,-1,2
3,3,5,1,3,2,-1,6,0,2,-1,7
3,3,5,2,3,2,-1,24,0,0,-1,6
3,3,5,3,3,2,-1,93,0,13,-1,7
3,3,6,1,3,2,-1,6,0,0,-1,5
3,3,6,2,3,2,-1,24,0,2,-1,4
3,3,6,3,3,2,-1,93,0,4,-1,1
3,3,7,1,3,1,-1,4,0,0,-1,5
3,3,7,2,3,1,-1,16,0,0,-1,6
3,3,7,3,3,1,-1,0,64,64,0,7
3,4,0,1,3,1,-1,4,0,0,-1,1
3,4,0,2,3,1,-1,16,0,0,-1,2
3,4,0,3,3,1,-1,0,64,1,0,0
3,4,1,1,3,2,-1,6,0,1,-1,3
3,4,1,2,3,2,-1,24,0,0,-1,2
3,4,1,3,3,2,-1,93,0,1,-1,5
3,4,2,1,3,2,-1,6,0,0,-1,1
3,4,2,2,3,2,-1,24,0,1,-1,0
3,4,2,3,3,2,-1,93,0,1,-1,0
3,4,3,1,3,3,-1,8,0,0,-1,1
3,4,3,2,3,3,-1,28,0,0,-1,2
3,4,3,3,3,3,-1,78,0,2,-1,5
3,4,5,1,3,1,-1,6,0,0,-1,1
3,4,5,2,3,1,-1,24,0,0,-1,2
3,4,5,3,3,1,-1,98,0,2,-1,7
3,4,6,1,3,1,-1,8,0,0,-1,1
3,4,6,2,3,1,-1,24,0,0,-1,2
3,4,6,3,3,1,-1,96,0,2,-1,5
3,4,7,1,3,2,-1,5,0,0,-1,1
3,4,7,2,3,2,-1,17,0,0,-1,2
3,4,7,3,3,2,-1,79,0,2,-1,5
3,5,0,1,3,2,-1,5,0,0,-1,6
3,5,0,2,3,2,-1,17,0,0,-1,3
3,5,0,3,3,2,-1,79,0,2,-1,1
3,5,1,1,3,1,-1,8,0,0,-1,6
3,5,1,2,3,1,-1,24,0,0,-1,3
3,5,1,3,3,1,-1,96,0,4,-1,4
3,5,2,1,3,3,-1,8,0,0,-1,6
3,5,2,2,3,3,-1,28,0,0,-1,3
3,5,2,3,3,3,-1,78,0,6,-1,1
3,5,3,1,3,2,-1,6,0,0,-1,6
3,5,3,2,3,2,-1,24,0,2,-1,2
3,5,3,3,3,2,-1,93,0,4,-1,4
3,5,4,1,3,1,-1,6,0,0,-1,6
3,5,4,2,3,1,-1,24,0,0,-1,3
3,5,4,3,3,1,-1,98,0,2,-1,1
3,5,6,1,3,2,-1,6,0,2,-1,7
3,5,6,2,3,2,-1,24,0,0,-1,3
3,5,6,3,3,2,-1,93,0,13,-1,7
3,5,7,1,3,1,-1,4,0,0,-1,6
3,5,7,2,3,1,-1,16,0,0,-1,3
3,5,7,3,3,1,-1,0,64,64,0,7
3,6,0,1,3,2,-1,5,0,0,-1,3
3,6,0,2,3,2,-1,17,0,0,-1,5
3,6,0,3,3,2,-1,79,0,2,-1,4
3,6,1,1,3,3,-1,8,0,0,-1,3
3,6,1,2,3,3,-1,28,0,0,-1,5
3,6,1,3,3,3,-1,78,0,6,-1,4
3,6,2,1,3,1,-1,6,0,0,-1,3
3,6,2,2,3,1,-1,24,0,0,-1,5
3,6,2,3,3,1,-1,98,0,2,-1,4
3,6,3,1,3,2,-1,6,0,2,-1,7
