A,B,dispatch,trace,K,shift,useful_inheritance,cases,same_task_map,sum_uncompiled,sum_frozen,sum_replace,sum_revisable,revision_win_uncompiled,revision_tie_uncompiled,revision_loss_uncompiled,revision_win_frozen,revision_tie_frozen,revision_loss_frozen,revision_win_replace,revision_tie_replace,revision_loss_replace
0,51,1,4,16,far,0,176,70,10560,11968,11968,12672,0,0,176,0,0,176,0,0,176
0,51,1,8,1,unchanged,0,16,16,360,488,488,616,0,0,16,0,0,16,0,0,16
0,51,1,8,1,one_edit,0,64,40,1440,1952,1952,2464,0,0,64,0,0,64,0,0,64
0,51,1,8,1,far,0,176,70,3960,5368,5368,6776,0,0,176,0,0,176,0,0,176
0,51,1,8,4,unchanged,0,16,16,480,608,608,736,0,0,16,0,0,16,0,0,16
0,51,1,8,4,one_edit,0,64,40,1920,2432,2432,2944,0,0,64,0,0,64,0,0,64
0,51,1,8,4,far,0,176,70,5280,6688,6688,8096,0,0,176,0,0,176,0,0,176
0,51,1,8,16,unchanged,0,16,16,960,1088,1088,1216,0,0,16,0,0,16,0,0,16
0,51,1,8,16,one_edit,0,64,40,3840,4352,4352,4864,0,0,64,0,0,64,0,0,64
0,51,1,8,16,far,0,176,70,10560,11968,11968,13376,0,0,176,0,0,176,0,0,176
0,51,2,0,1,unchanged,0,16,16,540,668,668,668,0,0,16,0,16,0,0,16,0
0,51,2,0,1,one_edit,0,64,40,2160,2672,2672,2672,0,0,64,0,64,0,0,64,0
0,51,2,0,1,far,0,176,70,5940,7348,7348,7348,0,0,176,0,176,0,0,176,0
0,51,2,0,4,unchanged,0,16,16,720,848,848,848,0,0,16,0,16,0,0,16,0
0,51,2,0,4,one_edit,0,64,40,2880,3392,3392,3392,0,0,64,0,64,0,0,64,0
0,51,2,0,4,far,0,176,70,7920,9328,9328,9328,0,0,176,0,176,0,0,176,0
0,51,2,0,16,unchanged,0,16,16,1440,1568,1568,1568,0,0,16,0,16,0,0,16,0
0,51,2,0,16,one_edit,0,64,40,5760,6272,6272,6272,0,0,64,0,64,0,0,64,0
0,51,2,0,16,far,0,176,70,15840,17248,17248,17248,0,0,176,0,176,0,0,176,0
0,51,2,2,1,unchanged,0,16,16,540,668,668,700,0,0,16,0,0,16,0,0,16
0,51,2,2,1,one_edit,0,64,40,2160,2672,2672,2800,0,0,64,0,0,64,0,0,64
0,51,2,2,1,far,0,176,70,5940,7348,7348,7700,0,0,176,0,0,176,0,0,176
0,51,2,2,4,unchanged,0,16,16,720,848,848,880,0,0,16,0,0,16,0,0,16
0,51,2,2,4,one_edit,0,64,40,2880,3392,3392,3520,0,0,64,0,0,64,0,0,64
0,51,2,2,4,far,0,176,70,7920,9328,9328,9680,0,0,176,0,0,176,0,0,176
0,51,2,2,16,unchanged,0,16,16,1440,1568,1568,1600,0,0,16,0,0,16,0,0,16
0,51,2,2,16,one_edit,0,64,40,5760,6272,6272,6400,0,0,64,0,0,64,0,0,64
0,51,2,2,16,far,0,176,70,15840,17248,17248,17600,0,0,176,0,0,176,0,0,176
0,51,2,4,1,unchanged,0,16,16,540,668,668,732,0,0,16,0,0,16,0,0,16
0,51,2,4,1,one_edit,0,64,40,2160,2672,2672,2928,0,0,64,0,0,64,0,0,64
0,51,2,4,1,far,0,176,70,5940,7348,7348,8052,0,0,176,0,0,176,0,0,176
0,51,2,4,4,unchanged,0,16,16,720,848,848,912,0,0,16,0,0,16,0,0,16
0,51,2,4,4,one_edit,0,64,40,2880,3392,3392,3648,0,0,64,0,0,64,0,0,64
0,51,2,4,4,far,0,176,70,7920,9328,9328,10032,0,0,176,0,0,176,0,0,176
