rule,min_h18,winner_pairs_n18,h1,h2,h3,h4,h5,h6,h7
41,7,1,7,9,9,8,9,9,11
54,7,3;5;6,9,13,7,13,7,7,11
97,7,1,7,8,9,9,9,9,11
106,49,2;6,51,49,50,58,50,49,51
107,7,7,11,8,9,9,9,9,7
110,5,3;5,9,12,5,9,5,6,7
120,49,4;6,51,58,50,49,50,49,51
121,7,7,11,9,9,8,9,9,7
124,5,3;5,9,9,5,12,5,6,7
137,5,3;5,7,9,5,12,5,6,9
147,7,3;5;6,11,13,7,13,7,7,9
169,49,4;6,51,58,50,49,50,49,51
193,5,3;5,7,12,5,9,5,6,9
225,49,2;6,51,49,50,58,50,49,51
