n,projection,block,stride,ensemble,test_kind,test_seed,model,depth,radius,detector,region,samples,errors,seen,supported,supported_errors,baseline_errors,fixed,broken
420,parity,2,2,1,random,307,history,0,1,r7-14,ambiguous,16846,3704,16846,16846,3704,3704,0,0
420,parity,2,2,1,random,307,history,0,1,r7-14,departure,52715,16303,52715,52715,16303,16303,0,0
420,parity,2,2,1,random,307,history,0,1,r7-14,all,106260,26474,106260,106260,26474,26474,0,0
420,parity,2,2,1,random,308,history,0,1,r3-7,background,52263,11586,52263,52263,11586,11586,0,0
420,parity,2,2,1,random,308,history,0,1,r3-7,ambiguous,12477,2555,12477,12477,2555,2555,0,0
420,parity,2,2,1,random,308,history,0,1,r3-7,departure,41520,13270,41520,41520,13270,13270,0,0
420,parity,2,2,1,random,308,history,0,1,r3-7,all,106260,27411,106260,106260,27411,27411,0,0
420,parity,2,2,1,random,308,history,0,1,r7-14,background,37333,8328,37333,37333,8328,8328,0,0
420,parity,2,2,1,random,308,history,0,1,r7-14,ambiguous,14930,3258,14930,14930,3258,3258,0,0
420,parity,2,2,1,random,308,history,0,1,r7-14,departure,53997,15825,53997,53997,15825,15825,0,0
420,parity,2,2,1,random,308,history,0,1,r7-14,all,106260,27411,106260,106260,27411,27411,0,0
420,parity,2,2,1,ether,0,history,0,1,r3-7,background,106260,30360,106260,106260,30360,30360,0,0
420,parity,2,2,1,ether,0,history,0,1,r3-7,ambiguous,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,0,1,r3-7,departure,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,0,1,r3-7,all,106260,30360,106260,106260,30360,30360,0,0
420,parity,2,2,1,ether,0,history,0,1,r7-14,background,106260,30360,106260,106260,30360,30360,0,0
420,parity,2,2,1,ether,0,history,0,1,r7-14,ambiguous,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,0,1,r7-14,departure,0,0,0,0,0,0,0,0
420,parity,2,2,1,ether,0,history,0,1,r7-14,all,106260,30360,106260,106260,30360,30360,0,0
420,parity,2,2,1,perturbed,401,history,0,1,r3-7,background,83895,20500,83895,83895,20500,20500,0,0
420,parity,2,2,1,perturbed,401,history,0,1,r3-7,ambiguous,5732,1343,5732,5732,1343,1343,0,0
420,parity,2,2,1,perturbed,401,history,0,1,r3-7,departure,16633,6074,16633,16633,6074,6074,0,0
420,parity,2,2,1,perturbed,401,history,0,1,r3-7,all,106260,27917,106260,106260,27917,27917,0,0
420,parity,2,2,1,perturbed,401,history,0,1,r7-14,background,73821,18174,73821,73821,18174,18174,0,0
420,parity,2,2,1,perturbed,401,history,0,1,r7-14,ambiguous,10074,2326,10074,10074,2326,2326,0,0
420,parity,2,2,1,perturbed,401,history,0,1,r7-14,departure,22365,7417,22365,22365,7417,7417,0,0
420,parity,2,2,1,perturbed,401,history,0,1,r7-14,all,106260,27917,106260,106260,27917,27917,0,0
420,parity,2,2,1,perturbed,402,history,0,1,r3-7,background,80705,22501,80705,80705,22501,22501,0,0
420,parity,2,2,1,perturbed,402,history,0,1,r3-7,ambiguous,7730,1579,7730,7730,1579,1579,0,0
