m,w,area,a,b,k,u,v,rule,physical_flips
1,3,3,6,7,2,2,0,255,1
1,3,3,7,3,2,2,0,0,1
1,3,3,7,5,2,2,0,0,1
1,3,3,7,6,2,2,0,0,1
1,3,3,0,1,3,-3,0,0,1
1,3,3,0,2,3,-3,0,0,1
1,3,3,0,4,3,-3,0,0,1
1,3,3,0,7,3,-3,0,240,3
1,3,3,1,0,3,-3,0,255,1
1,3,3,2,0,3,-3,0,255,1
1,3,3,3,7,3,-3,0,255,1
1,3,3,4,0,3,-3,0,255,1
1,3,3,5,7,3,-3,0,255,1
1,3,3,6,7,3,-3,0,255,1
1,3,3,7,0,3,-3,0,240,3
1,3,3,7,3,3,-3,0,0,1
1,3,3,7,5,3,-3,0,0,1
1,3,3,7,6,3,-3,0,0,1
1,3,3,0,1,3,-2,0,0,1
1,3,3,0,2,3,-2,0,0,1
1,3,3,0,4,3,-2,0,0,1
1,3,3,1,0,3,-2,0,255,1
1,3,3,2,0,3,-2,0,255,1
1,3,3,3,7,3,-2,0,255,1
1,3,3,4,0,3,-2,0,255,1
1,3,3,5,7,3,-2,0,255,1
1,3,3,6,7,3,-2,0,255,1
1,3,3,7,3,3,-2,0,0,1
1,3,3,7,5,3,-2,0,0,1
1,3,3,7,6,3,-2,0,0,1
1,3,3,0,1,3,-1,0,0,1
1,3,3,0,2,3,-1,0,0,1
1,3,3,0,4,3,-1,0,0,1
1,3,3,1,0,3,-1,0,255,1
1,3,3,2,0,3,-1,0,255,1
1,3,3,3,7,3,-1,0,255,1
1,3,3,4,0,3,-1,0,255,1
1,3,3,5,7,3,-1,0,255,1
1,3,3,6,7,3,-1,0,255,1
1,3,3,7,3,3,-1,0,0,1
1,3,3,7,5,3,-1,0,0,1
1,3,3,7,6,3,-1,0,0,1
1,3,3,0,1,3,0,0,0,1
1,3,3,0,2,3,0,0,0,1
1,3,3,0,4,3,0,0,0,1
1,3,3,0,7,3,0,0,204,3
1,3,3,1,0,3,0,0,255,1
1,3,3,2,0,3,0,0,255,1
1,3,3,3,7,3,0,0,255,1
1,3,3,4,0,3,0,0,255,1
1,3,3,5,7,3,0,0,255,1
1,3,3,6,7,3,0,0,255,1
1,3,3,7,0,3,0,0,204,3
1,3,3,7,3,3,0,0,0,1
1,3,3,7,5,3,0,0,0,1
1,3,3,7,6,3,0,0,0,1
1,3,3,0,1,3,1,0,0,1
1,3,3,0,2,3,1,0,0,1
1,3,3,0,4,3,1,0,0,1
1,3,3,1,0,3,1,0,255,1
1,3,3,2,0,3,1,0,255,1
1,3,3,3,7,3,1,0,255,1
1,3,3,4,0,3,1,0,255,1
1,3,3,5,7,3,1,0,255,1
1,3,3,6,7,3,1,0,255,1
1,3,3,7,3,3,1,0,0,1
1,3,3,7,5,3,1,0,0,1
1,3,3,7,6,3,1,0,0,1
1,3,3,0,1,3,2,0,0,1
1,3,3,0,2,3,2,0,0,1
1,3,3,0,4,3,2,0,0,1
1,3,3,1,0,3,2,0,255,1
1,3,3,2,0,3,2,0,255,1
1,3,3,3,7,3,2,0,255,1
1,3,3,4,0,3,2,0,255,1
1,3,3,5,7,3,2,0,255,1
1,3,3,6,7,3,2,0,255,1
1,3,3,7,3,3,2,0,0,1
1,3,3,7,5,3,2,0,0,1
1,3,3,7,6,3,2,0,0,1
1,3,3,0,1,3,3,0,0,1
1,3,3,0,2,3,3,0,0,1
1,3,3,0,4,3,3,0,0,1
1,3,3,0,7,3,3,0,170,3
1,3,3,1,0,3,3,0,255,1
1,3,3,2,0,3,3,0,255,1
1,3,3,3,7,3,3,0,255,1
1,3,3,4,0,3,3,0,255,1
1,3,3,5,7,3,3,0,255,1
1,3,3,6,7,3,3,0,255,1
1,3,3,7,0,3,3,0,170,3
1,3,3,7,3,3,3,0,0,1
1,3,3,7,5,3,3,0,0,1
1,3,3,7,6,3,3,0,0,1
1,4,4,0,1,1,-1,0,0,1
1,4,4,0,2,1,-1,0,0,1
1,4,4,0,4,1,-1,0,0,1
1,4,4,0,8,1,-1,0,0,1
1,4,4,1,0,1,-1,0,255,1
1,4,4,2,0,1,-1,0,255,1
1,4,4,4,0,1,-1,0,255,1
1,4,4,7,15,1,-1,0,255,1
1,4,4,8,0,1,-1,0,255,1
1,4,4,11,15,1,-1,0,255,1
1,4,4,13,15,1,-1,0,255,1
1,4,4,14,15,1,-1,0,255,1
1,4,4,15,7,1,-1,0,0,1
1,4,4,15,11,1,-1,0,0,1
1,4,4,15,13,1,-1,0,0,1
1,4,4,15,14,1,-1,0,0,1
1,4,4,0,1,1,0,0,0,1
1,4,4,0,2,1,0,0,0,1
1,4,4,0,3,1,0,0,204,2
1,4,4,0,4,1,0,0,0,1
1,4,4,0,6,1,0,0,204,2
1,4,4,0,8,1,0,0,0,1
1,4,4,0,12,1,0,0,204,2
1,4,4,0,15,1,0,0,204,4
1,4,4,1,0,1,0,0,255,1
1,4,4,2,0,1,0,0,255,1
1,4,4,3,0,1,0,0,204,2
1,4,4,3,12,1,0,0,204,4
1,4,4,3,15,1,0,0,204,2
1,4,4,4,0,1,0,0,255,1
1,4,4,6,0,1,0,0,204,2
1,4,4,7,15,1,0,0,255,1
1,4,4,8,0,1,0,0,255,1
1,4,4,9,15,1,0,0,204,2
1,4,4,11,15,1,0,0,255,1
1,4,4,12,0,1,0,0,204,2
1,4,4,12,3,1,0,0,204,4
1,4,4,12,15,1,0,0,204,2
1,4,4,13,15,1,0,0,255,1
1,4,4,14,15,1,0,0,255,1
1,4,4,15,0,1,0,0,204,4
1,4,4,15,3,1,0,0,204,2
1,4,4,15,7,1,0,0,0,1
1,4,4,15,9,1,0,0,204,2
1,4,4,15,11,1,0,0,0,1
1,4,4,15,12,1,0,0,204,2
1,4,4,15,13,1,0,0,0,1
1,4,4,15,14,1,0,0,0,1
